data,totale_casi
2020-02-24,0
2020-02-25,3
2020-02-26,3
2020-02-27,3
2020-02-28,3
2020-02-29,6
2020-03-01,6
2020-03-02,7
2020-03-03,14
2020-03-04,29
2020-03-05,42
2020-03-06,49
2020-03-07,71
2020-03-08,77
2020-03-09,91
2020-03-10,76
2020-03-11,99
2020-03-12,172
2020-03-13,218
2020-03-14,288
2020-03-15,354
2020-03-16,412
2020-03-17,486
2020-03-18,590
2020-03-19,675
2020-03-20,755
2020-03-21,893
2020-03-22,1050
2020-03-23,1171
